name1,name2,is_match,cosine_sim,sbert_sim,jaro_sim,levenshtein,first_letter_match,len_diff,soundex_match,metaphone_match,token_set_ratio,lcs,jaccard,ngram_overlap,predicted_match
rahul ravichandran,ravichandran r,1,0.839753218,0.83008426,0.826455026,8,1,4,0,0,0.92,12,0.333333333,0.555555556,1
gopi subramaniyan,subiramaniyan g,1,0.52378866,0.58209056,0.825842132,8,0,2,0,0,0.88,9,0,0.4,1
babu subramaniam,b subramaniam,1,0.833171419,0.7210527,0.828365385,3,1,3,0,0,0.92,12,0.333333333,0.666666667,1
shanmuga priya raja,r shanmuga priya,1,0.914432123,0.82568634,0.753435673,7,0,3,0,0,0.93,14,0.5,0.631578947,1
srivindh,srivinth,1,0.622519533,0.86318994,0.95,1,1,0,1,0,0.88,6,0,0.5,1
vinod balaji,v balaji,1,0.704230499,0.8026823,0.9,4,1,4,0,0,0.86,7,0.333333333,0.454545455,1
parthiban kannan,k parthiban,1,0.823699999,0.791293,0.793560606,9,0,5,0,0,0.9,9,0.333333333,0.4375,1
pavithira,pavithra p,1,0.616695478,0.89087605,0.937777778,3,1,1,1,0,0.84,6,0,0.363636364,1
pireethi,preethi p,1,0.546849137,0.3450181,0.895833333,3,1,1,0,0,0.82,6,0,0.444444444,1
prince peter dhas,prince peter doss,1,0.794263463,0.68710035,0.952941176,2,1,0,1,0,0.88,14,0.5,0.666666667,1
dhayanidhi,dayanidhi a,1,0.728444012,0.5216502,0.915454545,3,1,1,1,0,0.86,8,0,0.545454545,1
sarojini ganesan,g sarojini,1,0.780785035,0.80178833,0.672685185,10,0,6,0,0,0.89,8,0.333333333,0.375,1
dakshinamoorthy,n dhakshinamoorthy,1,0.824738002,0.5218522,0.811111111,3,0,3,0,0,0.91,14,0,0.705882353,1
gopikrishnan,gopikrishna r,1,0.914432893,0.9345877,0.952564103,2,1,1,1,0,0.88,11,0,0.75,1
sugania m,m suganya,1,0.569228378,0.8703537,0.777777778,5,0,0,0,0,0.89,5,0.333333333,0.272727273,1
ganesh manikandan,g manikandan,1,0.786316478,0.8119569,0.786764706,5,1,5,0,0,0.91,11,0.333333333,0.5625,1
mithra ravindran,m r ravindran,1,0.693212654,0.7334794,0.801923077,4,1,3,0,0,0.83,10,0.25,0.470588235,1
ramkumar segar,s ramkumar,1,0.690945875,0.73724455,0.79047619,8,0,4,0,0,0.89,8,0.333333333,0.428571429,1
vinodhinie,a vinodhini,1,0.7744115,0.8562777,0.906060606,3,0,1,0,0,0.86,9,0,0.7,1
ramyadevi,m ramadevi,1,0.566726317,0.56714916,0.85462963,3,0,1,0,0,0.84,5,0,0.363636364,1
vigneshwari,vigneswari r,1,0.74985151,0.6689396,0.948484848,3,1,1,1,0,0.87,6,0,0.461538462,1
baalakrishnan,k balakrishnan,1,0.718444215,0.84328246,0.898962149,3,0,1,0,0,0.89,11,0,0.642857143,1
varun meena,v meena,1,0.689334285,0.7284547,0.805194805,4,1,4,0,0,0.83,6,0.333333333,0.4,1
vijay prabakar,v prabakar,1,0.793804427,0.742966,0.794285714,4,1,4,0,0,0.89,9,0.333333333,0.538461538,1
leo praveen kumar,l praveen,1,0.645335338,0.46925434,0.758823529,8,1,8,1,0,0.88,8,0.25,0.375,1
mathankumar,r madhankumar,1,0.630937121,0.7820146,0.892773893,3,0,2,0,0,0.83,8,0,0.428571429,1
rizwana begum,riswana begam,1,0.355947273,0.57867944,0.917948718,2,1,0,1,1,0.85,8,0,0.375,1
shyam sudharsan,s sudharsan,1,0.786202537,0.7980765,0.810909091,4,1,4,0,0,0.9,10,0.333333333,0.571428571,1
kannan baskaran,k baskaran,1,0.772711471,0.8459995,0.81,5,1,5,0,0,0.89,9,0.333333333,0.5,1
murugesan suresh,r s murugesan,1,0.835102244,0.7879779,0.724358974,11,0,3,0,0,0.83,9,0.25,0.388888889,1
